# Total elastic cross section for O-N2 (isotope 16)
# Column 1: Collision energy (eV)
# Column 2: Cross section (cm^2) - converted from Angstrom^2 (x 1e-16)
energy_eV,cross_section_cm2
0.185000,4.701546e-14
0.198000,4.571361e-14
0.210000,4.443346e-14
0.223000,4.317616e-14
0.235000,4.203956e-14
0.247000,4.123366e-14
0.309000,3.736448e-14
0.323000,3.671699e-14
0.334000,3.605045e-14
0.347000,3.539888e-14
0.359000,3.474409e-14
0.372000,3.410781e-14
0.434000,3.106272e-14
0.500000,2.843417e-14
0.619000,2.424787e-14
0.744000,2.161917e-14
0.868000,2.035556e-14
0.990999,1.964540e-14
0.999999,1.960698e-14
1.114999,1.922716e-14
1.249999,1.890507e-14
1.499999,1.853587e-14
1.749999,1.802943e-14
1.999999,1.740194e-14
2.249999,1.668688e-14
2.499999,1.604067e-14
2.749999,1.556501e-14
2.999998,1.518628e-14
3.249998,1.487508e-14
3.499998,1.459778e-14
3.749998,1.417227e-14
3.999998,1.379756e-14
